	Temperature	SigmaT_saturation
856	0.057	0.736042281729696
857	0.058	0.7379422415481278
858	0.059000000000000004	0.7398702371186014
859	0.06000000000000001	0.7418260498473688
860	0.061	0.7438094603027758
861	0.062	0.7458202483073901
862	0.063	0.7478581930286772
863	0.064	0.7499230730684574
864	0.06499999999999999	0.752014666549978
865	0.06599999999999999	0.7541327512034302
866	0.067	0.7562771044495437
867	0.06799999999999999	0.7584475034812779
868	0.069	0.7606437253438506
869	0.07	0.7628655470123427
870	0.071	0.7651127454678175
871	0.07200000000000001	0.7673850977715424
872	0.073	0.7696823811364345
873	0.07400000000000001	0.7720043729975731
874	0.075	0.7743508510800533
875	0.076	0.7767215934651022
876	0.077	0.7791163786540691
877	0.078	0.7815349856305723
878	0.079	0.7839771939206416
879	0.08	0.7864427836507256
880	0.081	0.7889315356039671
881	0.08199999999999999	0.7914432312744275
882	0.083	0.7939776529193607
883	0.08399999999999999	0.7965345836095343
884	0.085	0.7991138072779027
885	0.086	0.801715108766152
886	0.08700000000000001	0.8043382738693874
887	0.08800000000000001	0.8069830893791947
888	0.08900000000000001	0.8096493431246617
889	0.08999999999999997	0.8123368240121431
890	0.091	0.8150453220621608
891	0.092	0.8177746284461708
892	0.093	0.8205245355200799
893	0.094	0.8232948368576162
894	0.095	0.8260853272801986
895	0.096	0.8288958028875486
896	0.097	0.8317260610845323
897	0.098	0.8345759006078121
898	0.099	0.8374451215504517
899	0.09999999999999998	0.8403335253858918
900	0.001	0.6801926628344344
901	0.002	0.6802463637477791
902	0.003	0.6803358558505127
903	0.004	0.6804611250212286
904	0.005	0.6806221515055264
905	0.006	0.6808189099315248
906	0.006999999999999999	0.681051369329974
907	0.008	0.6813194931584184
908	0.009000000000000001	0.6816232393298681
909	0.01	0.6819625602458035
910	0.011000000000000001	0.6823374028329704
911	0.012	0.682747708585235
912	0.012999999999999998	0.6831934136079877
913	0.013999999999999999	0.6836744486683143
914	0.015	0.6841907392473502
915	0.016	0.6847422055981153
916	0.016999999999999998	0.6853287628055414
917	0.018000000000000002	0.6859503208505605
918	0.019	0.6866067846789222
919	0.02	0.6872980542709787
920	0.021	0.6880240247170271
921	0.022000000000000002	0.688784586294199
922	0.023000000000000003	0.6895796245472009
923	0.024	0.6904090203714488
924	0.024999999999999998	0.6912726500994191
925	0.025999999999999995	0.6921703855889207
926	0.027	0.6931020943140401
927	0.027999999999999997	0.6940676394592824
928	0.029	0.695066880013576
